id,categoria,tela,status,observacao
470,Suporte,Central de ajuda,NÃO GERADA,
471,Suporte,Pesquisa de ajuda,NÃO GERADA,
472,Suporte,Artigo,NÃO GERADA,
473,Suporte,Tutorial,NÃO GERADA,
474,Suporte,FAQ,NÃO GERADA,
475,Suporte,Abrir chamado,NÃO GERADA,
476,Suporte,Chamado criado,NÃO GERADA,
477,Suporte,Meus chamados,NÃO GERADA,
478,Suporte,Detalhes do chamado,NÃO GERADA,
479,Suporte,Responder chamado,NÃO GERADA,
480,Suporte,Anexar arquivo,NÃO GERADA,
481,Suporte,Encerrar chamado,NÃO GERADA,
482,Suporte,Reabrir chamado,NÃO GERADA,
483,Status / Sistema,Status do suporte,NÃO GERADA,
484,Status / Sistema,Contato,NÃO GERADA,
485,Status / Sistema,Status do sistema,NÃO GERADA,
486,Status / Sistema,Serviço indisponível,NÃO GERADA,
487,Status / Sistema,Manutenção,NÃO GERADA,
488,Status / Sistema,Incidente,NÃO GERADA,
489,Status / Sistema,Detalhes do incidente,NÃO GERADA,
490,Status / Sistema,Atualização do sistema,NÃO GERADA,
491,Status / Sistema,Erro de conexão,NÃO GERADA,
492,Status / Sistema,Offline,NÃO GERADA,
493,Status / Sistema,Erro 404,NÃO GERADA,
494,Status / Sistema,Erro 500,NÃO GERADA,
495,Status / Sistema,Permissão negada,NÃO GERADA,
496,Status / Sistema,Sessão expirada,NÃO GERADA,
497,Status / Sistema,Recurso bloqueado,NÃO GERADA,
498,Status / Sistema,Limite atingido,NÃO GERADA,
499,Status / Sistema,Operação concluída,NÃO GERADA,
500,Telas globais / Componentes,Operação falhou,NÃO GERADA,
501,Telas globais / Componentes,Serviço temporariamente indisponível,NÃO GERADA,
502,Telas globais / Componentes,Loading,NÃO GERADA,
503,Telas globais / Componentes,Skeleton,NÃO GERADA,
504,Telas globais / Componentes,Empty State,NÃO GERADA,
505,Telas globais / Componentes,Sem resultados,NÃO GERADA,
506,Telas globais / Componentes,Confirmação de ação,NÃO GERADA,
507,Telas globais / Componentes,Modal de confirmação,NÃO GERADA,
508,Telas globais / Componentes,Modal de alerta,NÃO GERADA,
509,Telas globais / Componentes,Modal de erro,NÃO GERADA,
510,Telas globais / Componentes,Modal de sucesso,NÃO GERADA,
511,Telas globais / Componentes,Seleção de item,NÃO GERADA,
512,Telas globais / Componentes,Seletor de data,NÃO GERADA,
513,Telas globais / Componentes,Seletor de horário,NÃO GERADA,
514,Telas globais / Componentes,Seletor de dispositivo,NÃO GERADA,
515,Telas globais / Componentes,Seletor de integração,NÃO GERADA,
516,Telas globais / Componentes,Seletor de arquivo,NÃO GERADA,
517,Telas globais / Componentes,Compartilhamento,NÃO GERADA,
518,Telas globais / Componentes,Permissões,NÃO GERADA,
519,Telas globais / Componentes,Busca global,NÃO GERADA,
520,Telas globais / Componentes,Menu de ações,NÃO GERADA,
521,Telas globais / Componentes,Menu contextual,NÃO GERADA,
522,Telas globais / Componentes,Tela de processamento,NÃO GERADA,
523,Experiência Mobile / PWA,Tela de sucesso,NÃO GERADA,
524,Experiência Mobile / PWA,Tela de falha,NÃO GERADA,
525,Experiência Mobile / PWA,Instalação PWA,NÃO GERADA,
526,Experiência Mobile / PWA,PWA instalado,NÃO GERADA,
527,Experiência Mobile / PWA,Atualização disponível,NÃO GERADA,
528,Experiência Mobile / PWA,Atualizando aplicativo,NÃO GERADA,
529,Experiência Mobile / PWA,App offline,NÃO GERADA,
530,Experiência Mobile / PWA,Reconexão,NÃO GERADA,
531,Experiência Mobile / PWA,Permissão de notificações mobile,NÃO GERADA,
532,Experiência Mobile / PWA,Permissão de microfone mobile,NÃO GERADA,
533,Experiência Mobile / PWA,Permissão de câmera mobile,NÃO GERADA,
534,Experiência Mobile / PWA,Permissão de Bluetooth,NÃO GERADA,
535,Experiência Mobile / PWA,Permissão de localização,NÃO GERADA,
536,Experiência Mobile / PWA,Compartilhamento mobile,NÃO GERADA,
537,Wear OS,Menu mobile,NÃO GERADA,
538,Wear OS,Navegação mobile,NÃO GERADA,
539,Wear OS,Tela inicial Wear OS,NÃO GERADA,
540,Wear OS,FLOW no relógio,NÃO GERADA,
541,Wear OS,Comando de voz,NÃO GERADA,
542,Wear OS,Timer,NÃO GERADA,
543,Wear OS,Notificações,NÃO GERADA,
544,Wear OS,Rotinas,NÃO GERADA,
545,Wear OS,Saúde,NÃO GERADA,
546,Wear OS,Dispositivos,NÃO GERADA,
547,Wear OS,Configurações Wear OS,NÃO GERADA,
548,Experiências especiais da FLOW,Sincronização Wear OS,NÃO GERADA,
549,Experiências especiais da FLOW,Wear OS desconectado,NÃO GERADA,
550,Experiências especiais da FLOW,FLOW acordada,NÃO GERADA,
551,Experiências especiais da FLOW,FLOW ouvindo,NÃO GERADA,
552,Experiências especiais da FLOW,FLOW entendendo,NÃO GERADA,
553,Experiências especiais da FLOW,FLOW pensando,NÃO GERADA,
554,Experiências especiais da FLOW,FLOW respondendo,NÃO GERADA,
555,Experiências especiais da FLOW,FLOW executando,NÃO GERADA,
556,Experiências especiais da FLOW,FLOW pedindo confirmação,NÃO GERADA,
557,Experiências especiais da FLOW,FLOW concluindo ação,NÃO GERADA,
558,Experiências especiais da FLOW,FLOW encontrou erro,NÃO GERADA,
559,Experiências especiais da FLOW,FLOW precisa de informação,NÃO GERADA,
560,Experiências especiais da FLOW,FLOW não entendeu,NÃO GERADA,
561,Experiências especiais da FLOW,FLOW offline,NÃO GERADA,
562,Experiências especiais da FLOW,FLOW sem permissão,NÃO GERADA,
563,Experiências especiais da FLOW,FLOW aprendendo,NÃO GERADA,
564,Experiências especiais da FLOW,FLOW sugerindo ação,NÃO GERADA,
565,Experiências especiais da FLOW,FLOW detectando contexto,NÃO GERADA,
566,Experiências especiais da FLOW,FLOW usando visão,NÃO GERADA,
567,Experiências especiais da FLOW,FLOW usando memória,NÃO GERADA,
